PDB ID,Chain ID,High Resolution Limit,CATH ID [Res Range],Entity ID,Chain Length,Molecular Weight
"1SR4","A","2.00","2.80.10.50 [57-223]","1","206","22873.60"
"1SVD","M","1.80","3.30.190.10 [3-110]","2","110","12866.60"
"1SVZ","B","1.89","2.60.40.10 [129-227], 2.60.40.10 [1-128]","1","247","26876.70"
"1SVZ","A","1.89","2.60.40.10 [1-128], 2.60.40.10 [129-227]","1","247","26876.70"
"1T0F","A","1.85","3.40.1350.10 [7-168], 1.10.10.10 [169-267]","1","276","31511.90"
"1T0F","D","1.85","","2","54","6102.00"
"1T0F","C","1.85","","2","54","6102.00"
"1T0F","B","1.85","3.40.1350.10 [7-168], 1.10.10.10 [169-267]","1","276","31511.90"
"1T0H","B","1.97","3.40.50.300 [207-425]","2","224","25602.70"
"1T0H","A","1.97","2.30.30.40 [41-136]","1","132","15137.50"
"1T0P","A","1.66","3.40.50.410 [127-300]","1","175","19911.70"
"1T0P","B","1.66","2.60.40.10 [1-86]","2","86","9025.09"
"1T3Q","C","1.80","3.30.43.10 [1-56], 3.30.465.10 [57-174], 3.30.390.50 [175-285]","3","288","30705.40"
"1T3Q","A","1.80","1.10.150.120 [88-168], 3.10.20.30 [7-87]","1","168","18043.60"
"1T3Q","F","1.80","3.30.43.10 [1-56], 3.30.465.10 [57-174], 3.30.390.50 [175-285]","3","288","30705.40"
"1T3Q","D","1.80","1.10.150.120 [88-168], 3.10.20.30 [7-87]","1","168","18043.60"
"1T44","G","2.00","3.40.20.10 [28-171]","1","147","16632.50"
"1T61","A","1.50","2.170.240.10 [5-227]","1","229","25399.90"
"1T61","E","1.50","2.170.240.10 [5-228]","1","229","25399.90"
"1T61","D","1.50","2.170.240.10 [5-228]","1","229","25399.90"
"1T61","B","1.50","2.170.240.10 [6-228]","1","229","25399.90"
"1T6G","D","1.80","2.60.120.180 [2-183]","2","184","19894.00"
"1T6G","C","1.80","2.60.120.180 [2-183]","2","184","19894.00"
"1T6O","A","2.00","1.10.8.10 [458-506]","1","51","5891.06"
"1T8O","C","1.70","2.40.10.10 [16-27], 2.40.10.10 [121-232], 2.40.10.10 [28-120], 2.40.10.10 [233-243]","1","245","25686.00"
"1T8O","A","1.70","2.40.10.10 [28-120], 2.40.10.10 [233-243], 2.40.10.10 [16-27], 2.40.10.10 [121-232]","1","245","25686.00"
"1TA3","A","1.70","3.20.20.80 [1-274]","1","274","30324.00"
"1TAF","B","2.00","1.10.20.10 [1-70]","2","70","7636.89"
"1TAF","A","2.00","1.10.20.10 [19-86]","1","68","7904.01"
"1TG4","A","1.70","1.20.90.10 [1-133]","1","121","13629.80"
"1TGS","I","1.80","3.30.60.30 [1-56]","2","56","6028.82"
"1TX4","B","1.65","3.40.50.300 [3-179]","2","177","20032.90"
"1TX4","A","1.65","1.10.555.10 [39-234]","1","198","22586.80"
"1TZY","B","1.90","1.10.20.10 [33-124]","2","126","13953.30"
"1TZY","F","1.90","1.10.20.10 [33-125]","2","126","13953.30"
"1TZY","D","1.90","1.10.20.10 [20-102]","4","103","11394.40"
"1TZY","H","1.90","1.10.20.10 [19-102]","4","103","11394.40"
"1TZY","C","1.90","1.10.20.10 [41-135]","3","136","15421.10"
"1TZY","G","1.90","1.10.20.10 [38-135]","3","136","15421.10"
"1U00","A","1.95","2.60.34.10 [389-519], 1.20.1270.10 [520-615]","1","227","24415.70"
"1U0S","A","1.90","3.30.70.1110 [175-260]","2","86","9982.60"
"1U58","A","1.90","2.60.40.10 [143-242], 3.30.500.10 [8-142]","1","253","28351.50"
"1U8T","A","1.50","3.40.50.2300 [2-126]","1","128","14299.60"
"1U8T","D","1.50","3.40.50.2300 [2-128]","1","128","14299.60"
"1U8T","C","1.50","3.40.50.2300 [2-128]","1","128","14299.60"
"1U8T","B","1.50","3.40.50.2300 [2-128]","1","128","14299.60"
"1U9L","B","1.90","1.10.150.20 [352-421]","1","70","7774.66"
"1U9L","A","1.90","1.10.150.20 [352-419]","1","70","7774.66"
"1UGH","I","1.90","3.10.450.20 [3-84]","2","82","9250.37"
"1UHE","A","1.55","2.40.40.20 [26-122]","2","97","10737.40"
"1UJ0","A","1.70","2.30.30.40 [203-260]","1","62","7059.67"
"1UKV","Y","1.50","3.40.50.300 [3-206]","2","206","23240.20"
"1UNN","C","1.90","3.30.1490.100 [241-351]","2","115","13556.60"
"1UNN","D","1.90","3.30.1490.100 [240-351]","2","115","13556.60"
"1UPT","D","1.70","1.10.220.60 [2170-2220]","2","60","7407.81"
"1UPT","B","1.70","1.10.220.60 [2171-2228]","2","60","7407.81"
"1UPT","H","1.70","1.10.220.60 [2170-2220]","2","60","7407.81"
"1UPT","F","1.70","1.10.220.60 [2171-2226]","2","60","7407.81"
"1URQ","A","2.00","1.20.5.110 [1051-1108]","1","63","6686.59"
"1URQ","D","2.00","1.20.5.110 [138-199]","4","69","7840.72"
"1URQ","C","2.00","1.20.5.110 [16-83]","3","80","9312.39"
"1USP","A","1.90","2.20.25.10 [3-44], 3.30.300.20 [45-139]","1","139","14686.90"
"1UTI","A","1.50","2.30.30.40 [1-57]","1","58","6734.57"
"1UUZ","B","1.80","3.40.1420.10 [2-130]","1","137","15549.30"
"1UUZ","A","1.80","3.40.1420.10 [1-130]","1","137","15549.30"
"1UW4","A","1.95","3.30.70.330 [50-140]","1","91","10902.30"
"1UW4","D","1.95","1.25.40.180 [768-1015]","2","248","29278.00"
"1UW4","C","1.95","3.30.70.330 [50-140]","1","91","10902.30"
"1UW4","B","1.95","1.25.40.180 [768-1015]","2","248","29278.00"
"1V5I","B","1.50","3.30.70.80 [1-76]","2","76","8355.27"
"1V74","B","2.00","1.20.120.650 [1-87]","2","87","10071.70"
"1V74","A","2.00","","1","107","12320.80"
"1V7P","C","1.90","3.40.50.410 [143-335]","3","200","21878.70"
"1V9T","B","1.70","2.40.100.10 [1-166]","1","166","18070.30"
"1V9T","A","1.70","2.40.100.10 [1-166]","1","166","18070.30"
"1VC3","B","1.50","2.40.40.20 [26-120]","2","96","10295.60"
"1VET","A","1.90","3.30.450.30 [2-123]","1","124","13567.70"
"1VRA","A","2.00","3.60.70.12 [6-196]","1","208","22350.50"
"1VRA","B","2.00","3.30.2330.10 [197-281]","2","215","23196.10"
"1VWI","D","1.50","2.40.128.30 [13-133]","1","123","12965.00"
"1VWI","B","1.50","2.40.128.30 [13-135]","1","123","12965.00"
"1W2W","A","1.75","","1","211","23353.10"
"1W2W","F","1.75","3.40.50.10470 [221-411]","2","191","21031.70"
"1W2W","M","1.75","","1","211","23353.10"
"1W2W","E","1.75","","1","211","23353.10"
"1W2W","J","1.75","3.40.50.10470 [221-411]","2","191","21031.70"
"1W2W","B","1.75","3.40.50.10470 [221-411]","2","191","21031.70"
"1W2W","I","1.75","","1","211","23353.10"
"1W2W","N","1.75","3.40.50.10470 [221-411]","2","191","21031.70"
"1W6N","A","1.65","2.60.120.200 [1001-1134]","1","134","14657.40"
"1W7J","B","2.00","1.10.238.10 [11-88], 1.10.238.10 [89-148]","2","151","17090.30"
"1W9E","B","1.56","2.30.42.10 [110-194], 2.30.42.10 [195-273]","1","166","18018.70"
"1W9E","A","1.56","2.30.42.10 [195-273], 2.30.42.10 [110-194]","1","166","18018.70"
"1WAA","A","1.80","2.60.40.10 [-2-89]","1","93","10124.60"
"1WAA","D","1.80","2.60.40.10 [-3-89]","1","93","10124.60"
"1WAA","C","1.80","2.60.40.10 [-3-89]","1","93","10124.60"
"1WAA","B","1.80","2.60.40.10 [1-89]","1","93","10124.60"
"1WDC","A","2.00","4.10.270.10 [774-837]","1","64","7997.62"
"1WDC","C","2.00","1.10.238.10 [3-80], 1.10.238.10 [81-152]","3","156","17635.60"
"1WDC","B","2.00","1.10.238.10 [12-81], 1.10.238.10 [82-149]","2","156","17560.90"
"1WHS","A","2.00","3.40.50.1820 [-4-248]","1","255","28435.60"
"1WHS","B","2.00","","2","153","17320.50"
"1WMH","B","1.50","3.10.20.90 [14-95]","2","86","9559.00"
"1WMH","A","1.50","3.10.20.90 [16-98]","1","89","10321.60"
"1WQJ","I","1.60","1.10.100.10 [2-63]","2","70","7663.75"
"1WQJ","B","1.60","","1","80","8498.12"
"1WRD","A","1.75","1.20.58.160 [210-307]","1","103","11802.40"
"1WUL","S","1.50","3.40.50.700 [3-182], 4.10.480.10 [183-267]","1","267","28789.70"
"1WVE","D","1.85","1.10.760.10 [602-676]","2","80","8611.64"
"1WVE","C","1.85","1.10.760.10 [602-676]","2","80","8611.64"
"1WX4","B","1.50","","2","134","14203.80"
"1WX4","A","1.50","1.10.1280.10 [2-274]","1","281","32089.60"
"1XFP","L","1.50","1.10.530.10 [1-129]","2","129","14331.20"
"1XG2","B","1.90","1.20.140.40 [0-150]","2","153","16438.30"
"1XIW","E","1.90","2.60.40.10 [12-98]","1","105","11893.10"
"1XIW","B","1.90","2.60.40.10 [1-74]","2","79","9106.42"
"1XIW","A","1.90","2.60.40.10 [12-102]","1","105","11893.10"
"1XIW","F","1.90","2.60.40.10 [2-72]","2","79","9106.42"
"1XKP","B","1.70","3.30.1460.10 [2-122]","2","124","13771.00"
"1XKP","A","1.70","","1","246","27741.40"
"1XKP","C","1.70","3.30.1460.10 [2-127]","3","143","16392.20"
"1XU1","B","1.90","2.60.120.40 [105-241]","1","138","15560.90"
"1XU1","A","1.90","2.60.120.40 [105-241]","1","138","15560.90"
"1XU1","D","1.90","2.60.120.40 [105-241]","1","138","15560.90"
"1Y96","B","2.00","","2","85","9488.72"
"1Y96","A","2.00","","1","86","9945.35"
"1Y96","D","2.00","","2","85","9488.72"
"1Y96","C","2.00","","1","86","9945.35"
"1YAR","R","1.90","1.20.120.180 [4-221]","3","237","26087.60"
"1YAR","B","1.90","3.60.20.10 [13-233]","1","233","25801.40"
"1YAR","E","1.90","3.60.20.10 [13-233]","1","233","25801.40"
"1YAR","U","1.90","1.20.120.180 [4-221]","3","237","26087.60"
"1YAR","H","1.90","3.60.20.10 [1-203]","2","217","23998.70"
"1YAR","K","1.90","3.60.20.10 [1-203]","2","217","23998.70"
"1YAR","N","1.90","3.60.20.10 [1-203]","2","217","23998.70"
"1YAR","Q","1.90","1.20.120.180 [4-221]","3","237","26087.60"
"1YAR","A","1.90","3.60.20.10 [13-233]","1","233","25801.40"
"1YAR","T","1.90","1.20.120.180 [4-221]","3","237","26087.60"
"1YAR","D","1.90","3.60.20.10 [13-233]","1","233","25801.40"
"1YAR","G","1.90","3.60.20.10 [13-233]","1","233","25801.40"
"1YAR","J","1.90","3.60.20.10 [1-203]","2","217","23998.70"
"1YAR","M","1.90","3.60.20.10 [1-203]","2","217","23998.70"
"1YAR","P","1.90","1.20.120.180 [4-221]","3","237","26087.60"
"1YAR","S","1.90","1.20.120.180 [4-221]","3","237","26087.60"
"1YAR","C","1.90","3.60.20.10 [13-233]","1","233","25801.40"
"1YAR","F","1.90","3.60.20.10 [13-233]","1","233","25801.40"
"1YAR","I","1.90","3.60.20.10 [1-203]","2","217","23998.70"
"1YAR","L","1.90","3.60.20.10 [1-203]","2","217","23998.70"
"1YAR","O","1.90","1.20.120.180 [4-221]","3","237","26087.60"
"1YP0","A","1.50","1.10.565.10 [223-461]","1","239","27513.00"
"1YRK","A","1.70","2.60.40.150 [-2-123]","1","126","14287.40"
"1YRO","A","1.90","1.10.530.10 [1-123]","1","123","14015.80"
"1YRO","D","1.90","3.90.550.10 [131-402]","2","286","32821.60"
"1YRO","C","1.90","1.10.530.10 [1-123]","1","123","14015.80"
"1YRO","B","1.90","3.90.550.10 [131-402]","2","286","32821.60"
"1YTV","N","1.80","","2","84","9562.33"
"1YTV","M","1.80","","2","84","9562.33"
"1YU6","C","1.55","3.30.60.30 [6-56]","2","185","20177.60"
"1YU6","D","1.55","3.30.60.30 [7-56]","2","185","20177.60"
"1YUK","B","1.80","2.10.25.10 [421-451]","2","120","13483.30"
"1YUK","A","1.80","","1","103","11386.80"
"1YWO","A","1.81","2.30.30.40 [5-59]","1","64","7414.26"
"1Z0K","D","1.92","","2","69","7716.38"
"1Z0K","B","1.92","","2","69","7716.38"
"1Z3E","A","1.50","3.40.30.10 [0-118]","1","132","15690.00"
"1Z3E","B","1.50","1.10.150.20 [245-311]","2","73","8381.70"
"1Z5Y","E","1.94","3.40.30.10 [49-184]","2","149","17084.30"
"1Z5Y","D","1.94","2.60.40.1250 [8-125]","1","143","15982.60"
"1Z6O","J","1.91","1.20.1260.10 [1-212]","1","212","24341.10"
"1Z6O","M","1.91","1.20.1260.10 [1-191]","2","191","21800.80"
"1Z6O","P","1.91","1.20.1260.10 [1-191]","2","191","21800.80"
"1Z6O","S","1.91","1.20.1260.10 [1-191]","2","191","21800.80"
"1Z6O","C","1.91","1.20.1260.10 [1-212]","1","212","24341.10"
"1Z6O","F","1.91","1.20.1260.10 [1-212]","1","212","24341.10"
"1Z6O","V","1.91","1.20.1260.10 [1-191]","2","191","21800.80"
"1Z6O","I","1.91","1.20.1260.10 [1-212]","1","212","24341.10"
"1Z6O","L","1.91","1.20.1260.10 [1-212]","1","212","24341.10"
"1Z6O","O","1.91","1.20.1260.10 [1-191]","2","191","21800.80"
"1Z6O","R","1.91","1.20.1260.10 [1-191]","2","191","21800.80"
"1Z6O","B","1.91","1.20.1260.10 [1-212]","1","212","24341.10"
"1Z6O","E","1.91","1.20.1260.10 [1-212]","1","212","24341.10"
"1Z6O","U","1.91","1.20.1260.10 [1-191]","2","191","21800.80"
"1Z6O","X","1.91","1.20.1260.10 [1-191]","2","191","21800.80"
"1Z6O","H","1.91","1.20.1260.10 [1-212]","1","212","24341.10"
"1Z6O","K","1.91","1.20.1260.10 [1-212]","1","212","24341.10"
"1Z6O","N","1.91","1.20.1260.10 [1-191]","2","191","21800.80"
"1Z6O","Q","1.91","1.20.1260.10 [1-191]","2","191","21800.80"
"1Z6O","A","1.91","1.20.1260.10 [1-212]","1","212","24341.10"
"1Z6O","D","1.91","1.20.1260.10 [1-212]","1","212","24341.10"
"1Z6O","T","1.91","1.20.1260.10 [1-191]","2","191","21800.80"
"1Z6O","W","1.91","1.20.1260.10 [1-191]","2","191","21800.80"
"1Z6O","G","1.91","1.20.1260.10 [1-212]","1","212","24341.10"
"1Z7K","B","1.90","3.30.60.30 [2-63]","2","62","6683.52"
"1Z9O","A","1.90","2.60.40.360 [5-125]","1","128","14545.90"
"1Z9O","D","1.90","2.60.40.360 [5-125]","1","128","14545.90"
"1Z9O","C","1.90","2.60.40.360 [5-125]","1","128","14545.90"
"1Z9O","F","1.90","2.60.40.360 [5-125]","1","128","14545.90"
"1Z9O","B","1.90","2.60.40.360 [5-125]","1","128","14545.90"
"1Z9O","E","1.90","2.60.40.360 [5-125]","1","128","14545.90"
"1ZAV","A","1.90","","1","180","20436.90"
"1ZC3","D","2.00","2.30.29.30 [171-279]","2","113","13423.60"
"1ZC3","B","2.00","2.30.29.30 [171-279]","2","113","13423.60"
"1ZE3","H","1.84","2.60.40.1090 [158-279]","2","122","12283.60"
"1ZHH","B","1.94","","2","242","27407.70"
"1ZLH","B","1.70","","2","75","7945.10"
"1ZR0","B","1.80","4.10.410.10 [1A-59]","2","63","7376.21"
"1ZR0","D","1.80","4.10.410.10 [1A-59]","2","63","7376.21"
"1ZSZ","C","2.00","2.30.30.220 [5-113]","3","129","14769.40"
"1ZUD","2","1.98","3.10.20.30 [2-66]","2","66","7315.24"
"1ZUD","1","1.98","3.40.50.720 [1-245]","1","251","26991.70"
"1ZUD","4","1.98","3.10.20.30 [1-66]","2","66","7315.24"
"1ZUD","3","1.98","3.40.50.720 [1-245]","1","251","26991.70"
"1ZUK","A","1.90","2.30.30.40 [3-67]","1","68","7821.46"
"1ZUK","B","1.90","2.30.30.40 [3-67]","1","68","7821.46"
"1ZV8","C","1.94","","1","50","5433.05"
"1ZV8","I","1.94","","1","50","5433.05"
"1ZV8","A","1.94","","1","50","5433.05"
"1ZV8","G","1.94","","1","50","5433.05"
"1ZV8","E","1.94","","1","50","5433.05"
"1ZV8","K","1.94","","1","50","5433.05"
"2A40","E","1.80","3.60.10.10 [1-260]","2","260","29092.60"
"2A40","B","1.80","3.60.10.10 [1-260]","2","260","29092.60"
"2A52","C","1.70","","1","73","8067.18"
"2A52","A","1.70","","1","73","8067.18"
"2A5D","B","1.80","3.90.210.10 [1-187]","2","193","21710.80"
"2A9K","B","1.73","3.90.176.10 [45-251]","2","223","24462.80"
"2AD6","D","1.50","4.10.160.10 [1-69]","2","69","7770.64"
"2AD6","B","1.50","4.10.160.10 [1-69]","2","69","7770.64"
"2ADF","A","1.90","3.40.50.410 [922-1110]","1","196","20790.70"
"2AIJ","X","1.55","3.90.1580.10 [86-371]","1","286","32110.60"
"2AKA","B","1.90","3.40.50.300 [6-304]","3","299","33217.10"
"2AOT","A","1.90","3.40.50.150 [5-292]","1","292","33365.00"
"2APO","B","1.95","2.20.28.40 [403-457]","2","60","7335.38"
"2AQ2","A","1.80","2.60.40.10 [1-117]","1","112","12176.40"
"2ARP","A","2.00","2.10.90.10 [1-116]","1","116","12991.90"
"2ARP","F","2.00","3.30.60.30 [137-208], 3.30.60.30 [74-136]","2","152","16593.20"
"2ASU","B","1.85","2.40.10.10 [493-586], 2.40.10.10 [700-708], 2.40.10.10 [484-492], 2.40.10.10 [587-699]","2","234","25955.90"
"2B1X","B","2.00","3.10.450.50 [513-679]","2","172","19836.40"
"2B1X","F","2.00","3.10.450.50 [513-679]","2","172","19836.40"
"2B1X","D","2.00","3.10.450.50 [513-679]","2","172","19836.40"
"2B3G","A","1.60","2.40.50.140 [1-120]","1","123","13469.60"
"2B5G","A","1.70","3.40.630.30 [2-169]","1","171","20376.30"
"2BBA","A","1.65","2.60.120.260 [12-196]","1","185","21088.00"
"2BCN","B","1.70","1.10.760.10 [1-108]","2","108","12057.80"
"2BEX","C","1.99","3.10.130.10 [0-134]","2","135","15611.80"
"2BEX","D","1.99","3.10.130.10 [0-134]","2","135","15611.80"
"2BEZ","C","1.60","","1","77","8426.37"
"2BKR","A","1.90","","1","212","24073.20"
"2BKY","X","1.70","3.30.110.20 [4-89]","2","89","10255.90"
"2BKY","B","1.70","3.30.110.20 [9-97]","1","97","10601.40"
"2BKY","A","1.70","3.30.110.20 [9-97]","1","97","10601.40"
"2BKY","Y","1.70","3.30.110.20 [4-89]","2","89","10255.90"
"2BL0","B","1.75","1.10.238.10 [1-68]","2","145","15937.80"
"2BL0","A","1.75","","1","63","7577.93"
"2BL0","C","1.75","1.10.238.10 [13-87]","3","142","16195.10"
"2BLF","B","1.80","","2","81","8844.83"
"2BO9","D","1.60","3.10.450.10 [1-97], 3.10.450.10 [98-217]","2","222","25797.20"
"2BO9","B","1.60","3.10.450.10 [98-217], 3.10.450.10 [1-97]","2","222","25797.20"
"2BQZ","E","1.50","2.170.270.10 [192-352]","1","161","18386.80"
"2BQZ","A","1.50","2.170.270.10 [192-352]","1","161","18386.80"
"2BS2","B","1.78","1.10.1060.10 [107-125], 1.10.1060.10 [137-240], 3.10.20.30 [1-106]","2","241","27415.70"
"2BS2","F","1.78","1.20.1300.10 [1-255]","3","256","29721.90"
"2BS2","E","1.78","3.10.20.30 [1-106], 1.10.1060.10 [107-125], 1.10.1060.10 [137-240]","2","241","27415.70"
"2BS2","C","1.78","1.20.1300.10 [1-255]","3","256","29721.90"
"2BTW","A","2.00","","1","254","29437.20"
"2BW3","B","2.00","","2","84","9454.56"
"2C1D","B","1.92","1.10.760.10 [21-157]","2","137","14330.20"
"2C1D","H","1.92","1.10.760.10 [21-157]","2","137","14330.20"
"2C1D","F","1.92","1.10.760.10 [21-157]","2","137","14330.20"
"2C1D","D","1.92","1.10.760.10 [21-157]","2","137","14330.20"
"2C4F","U","1.72","2.60.40.10 [91-210]","4","116","13354.90"
"2C4F","T","1.72","2.60.40.10 [6-80]","3","75","8715.80"
"2C5L","D","1.90","","2","117","13157.90"
"2C5L","C","1.90","","2","117","13157.90"
"2C9W","A","1.90","","1","169","19273.30"
"2CCH","B","1.70","1.10.472.10 [195-307], 1.10.472.10 [181-194], 1.10.472.10 [308-432]","2","260","29867.50"
"2CCH","A","1.70","3.30.200.20 [0-84], 1.10.510.10 [85-295]","1","299","34143.50"
"2CCH","D","1.70","1.10.472.10 [181-194], 1.10.472.10 [308-431], 1.10.472.10 [195-307]","2","260","29867.50"
"2CCH","C","1.70","3.30.200.20 [0-84], 1.10.510.10 [85-295]","1","299","34143.50"
"2CI9","A","1.50","3.30.505.10 [276-377]","1","102","11751.30"
"2CI9","B","1.50","3.30.505.10 [277-377]","1","102","11751.30"
"2CIO","B","1.50","","2","121","13449.20"
"2CIO","A","1.50","3.90.70.10 [1-212]","1","212","23499.30"
"2CJS","C","1.78","","2","62","6870.93"
"2CJS","B","1.78","2.60.40.150 [2-155]","1","167","18570.00"
"2CJS","A","1.78","2.60.40.150 [2-154]","1","167","18570.00"
"2CKL","B","2.00","3.30.40.10 [44-114]","2","165","18727.50"
"2CKL","A","2.00","3.30.40.10 [6-103]","1","108","12525.80"
"2CMR","A","2.00","","1","226","25479.50"
"2CNZ","A","1.80","","1","125","13136.70"
"2CO7","B","1.80","2.60.40.360 [14-133], 2.60.40.1070 [137-219]","2","221","24023.30"
"2CWG","B","2.00","3.30.60.10 [129-171], 3.30.60.10 [86-128], 3.30.60.10 [43-85], 3.30.60.10 [2-42]","1","171","17124.10"
"2CWG","A","2.00","3.30.60.10 [129-171], 3.30.60.10 [86-128], 3.30.60.10 [43-85], 3.30.60.10 [2-42]","1","171","17124.10"
"2CZ6","B","1.50","1.10.472.20 [1-110], 2.30.30.50 [111-212]","2","212","23514.30"
"2CZ6","A","1.50","3.90.330.10 [9-205]","1","206","22933.90"
"2CZV","A","2.00","3.20.20.140 [2-209]","1","212","24734.10"
"2CZV","D","2.00","","2","120","14052.60"
"2CZV","C","2.00","","2","120","14052.60"
"2CZV","B","2.00","3.20.20.140 [6-211]","1","212","24734.10"
"2D0O","D","2.00","3.40.50.10150 [6-113]","2","125","13637.30"
"2D0O","B","2.00","3.40.50.10150 [5-112]","2","125","13637.30"
"2DE6","D","1.80","2.102.10.10 [4-107]","2","115","12448.10"
"2DE6","F","1.80","2.102.10.10 [4-107]","2","115","12448.10"
"2DE6","E","1.80","2.102.10.10 [3-108]","2","115","12448.10"
"2DFX","I","1.90","","2","106","11957.60"
"2DFX","E","1.90","","1","115","12723.00"
"2DJF","B","2.00","3.90.70.10 [215-358]","2","164","18491.90"
"2DJF","A","2.00","2.40.128.80 [1-118]","1","119","13500.20"
"2DS2","B","1.70","","2","72","8327.78"
"2DS2","D","1.70","","2","72","8327.78"
"2DS8","B","1.60","","1","51","5758.63"
"2DS8","A","1.60","","1","51","5758.63"
"2DUJ","A","1.67","3.40.50.200 [1-279]","1","279","28958.80"
"2DYO","B","1.97","","2","57","6527.24"
"2DYO","A","1.97","","1","297","33862.10"
"2E2D","C","2.00","2.40.50.120 [1016-1109], 3.90.370.10 [1001-1014], 3.90.370.10 [1110-1180]","2","180","20192.30"
"2E4M","B","1.85","2.80.10.50 [142-286], 2.80.10.50 [2-141]","1","286","33796.30"
"2E4M","A","1.85","2.80.10.50 [2-141], 2.80.10.50 [142-286]","1","286","33796.30"
"2E4M","C","1.85","2.80.10.50 [4-146]","2","146","16714.60"
"2EG4","A","1.70","3.40.250.10 [119-229]","1","230","25594.20"
"2EJF","B","2.00","3.30.930.10 [1-187], 2.30.30.100 [188-231]","1","235","25959.30"
"2EJF","A","2.00","3.30.930.10 [1-187], 2.30.30.100 [188-235]","1","235","25959.30"
"2EJF","D","2.00","2.40.50.100 [81-149]","2","74","7985.46"
"2EJF","C","2.00","2.40.50.100 [81-149]","2","74","7985.46"
"2EKE","C","1.90","3.10.20.90 [1013-1095]","2","106","12190.70"
"2EKE","D","1.90","3.10.20.90 [111-1094]","2","106","12190.70"
"2F4M","B","1.85","","2","61","7185.17"
"2F4M","A","1.85","2.20.25.10 [244-293]","1","295","34866.70"
"2F9I","D","1.98","","2","285","31916.80"
"2F9I","B","1.98","","2","285","31916.80"
"2F9N","A","1.60","2.40.10.10 [28-120], 2.40.10.10 [233-244], 2.40.10.10 [16-27], 2.40.10.10 [121-232]","1","245","27659.60"
"2F9N","D","1.60","2.40.10.10 [28-120], 2.40.10.10 [233-244], 2.40.10.10 [16-27], 2.40.10.10 [121-232]","1","245","27659.60"
"2F9N","C","1.60","2.40.10.10 [16-27], 2.40.10.10 [121-232], 2.40.10.10 [28-120], 2.40.10.10 [233-244]","1","245","27659.60"
"2F9N","B","1.60","2.40.10.10 [16-27], 2.40.10.10 [121-232], 2.40.10.10 [28-120], 2.40.10.10 [233-244]","1","245","27659.60"
"2FD6","U","1.90","2.10.60.10 [188-275], 2.10.60.10 [92-187], 2.10.60.10 [1A-80]","4","276","30668.40"
"2FD6","A","1.90","2.10.25.10 [11-49], 2.40.20.10 [50-132]","1","122","13892.80"
"2FF3","A","2.00","3.40.20.10 [28-152]","1","150","16868.00"
"2FHJ","A","2.00","3.30.70.520 [17-165], 3.30.70.520 [1-16], 3.30.70.520 [166-296]","1","296","31686.40"
"2FHJ","C","2.00","3.30.70.520 [1-16], 3.30.70.520 [166-296], 3.30.70.520 [17-165]","1","296","31686.40"
"2FHJ","B","2.00","3.30.70.520 [1-16], 3.30.70.520 [166-296], 3.30.70.520 [17-165]","1","296","31686.40"
"2FHX","A","1.90","3.60.15.10 [35-316]","1","246","27588.70"
"2FMM","E","1.80","","1","133","14530.60"
"2FOM","B","1.50","2.40.10.120 [18-85], 2.40.10.10 [86-167]","2","185","19936.60"
"2FOM","A","1.50","","1","62","6409.82"
"2FP7","B","1.68","2.40.10.120 [19-85], 2.40.10.10 [86-170]","2","172","18588.10"
"2FP7","A","1.68","","1","54","6101.58"
"2FSA","A","1.90","1.20.920.10 [64-173], 3.30.40.10 [6-62]","1","174","20531.50"
"2FSA","C","1.90","1.20.920.10 [64-173], 3.30.40.10 [8-62]","1","174","20531.50"
"2FSA","B","1.90","3.30.40.10 [7-62], 1.20.920.10 [64-173]","1","174","20531.50"
"2FU5","A","2.00","2.170.150.10 [7-123]","1","117","13198.10"
"2FU5","B","2.00","2.170.150.10 [7-123]","1","117","13198.10"
"2G30","A","1.60","2.60.40.1150 [705-821], 3.30.310.10 [822-937]","1","258","29088.50"
"2G45","D","1.99","","1","129","14593.40"
"2G45","A","1.99","","1","129","14593.40"
"2G5Z","B","1.80","","2","173","19806.10"
"2G5Z","A","1.80","","1","66","6918.94"
"2G81","I","1.55","2.10.69.10 [17-72]","2","83","9147.04"
"2G9H","D","2.00","3.10.20.120 [4-16], 3.10.20.120 [87-216]","4","218","24962.00"
"2GAG","D","1.85","3.30.2270.10 [1-91]","4","99","11395.90"
"2GAG","C","1.85","3.30.70.1520 [39-118]","3","210","22235.10"
"2GBW","F","1.70","3.10.450.50 [5-174]","2","174","20786.30"
"2GBW","D","1.70","3.10.450.50 [5-174]","2","174","20786.30"
"2GBW","B","1.70","3.10.450.50 [5-174]","2","174","20786.30"
"2GC7","O","1.90","2.60.40.420 [1-105]","3","105","11505.20"
"2GC7","G","1.90","2.60.40.420 [1-105]","3","105","11505.20"
"2GC7","L","1.90","1.10.760.10 [1-147]","4","147","16274.90"
"2GC7","D","1.90","1.10.760.10 [1-147]","4","147","16274.90"
"2GC7","K","1.90","2.60.40.420 [1-105]","3","105","11505.20"
"2GC7","P","1.90","1.10.760.10 [1-147]","4","147","16274.90"
"2GC7","C","1.90","2.60.40.420 [1-105]","3","105","11505.20"
"2GC7","H","1.90","1.10.760.10 [1-147]","4","147","16274.90"
"2GGV","A","1.80","","1","56","5981.35"
"2GH0","A","1.92","","2","213","23778.60"
"2GH0","D","1.92","2.10.90.10 [121-219]","1","101","10957.60"
